,ad title,link,year of construction,fuel,transmission,vehicle type,mileage (km)
0,Opel Corsa 1.2 EDITION - NAVI - AIRCO - Nr. 021,marktplaats.nl/v/auto-s/opel/a1488126369-opel-corsa-1-2-edition-navi-airco-nr-021,2020.0,Benzine ,Handgeschakeld ,Hatchback ,78189.0
1,Opel Ampera-e Launch Executive 60-kwh Automaat Leer Nr. 025,marktplaats.nl/v/auto-s/opel/a1461138927-opel-ampera-e-launch-executive-60-kwh-automaat-leer-nr-025,2017.0,Elektrisch ,Automaat ,Hatchback ,
2,Opel Grandland 1.2 TURBO BUSINESS EXECUTIVE AUTOMAAT Nr. 041,marktplaats.nl/v/auto-s/opel/a1496602805-opel-grandland-1-2-turbo-business-executive-automaat-nr-041,2018.0,Benzine ,Automaat ,SUV of Terreinwagen ,
3,Opel Ampera-e Business Executive 60 KWH Automaat Nr. 051,marktplaats.nl/v/auto-s/opel/a1482453489-opel-ampera-e-business-executive-60-kwh-automaat-nr-051,2018.0,Elektrisch ,Automaat ,MPV ,106966.0
4,Opel Insignia Sports Tourer 1.4 Turbo EcoFLEX Cosmo Navi|Led,marktplaats.nl/v/auto-s/opel/m2066031546-opel-insignia-sports-tourer-1-4-turbo-ecoflex-cosmo-navi-led,2011.0,Benzine ,Handgeschakeld ,Stationwagon ,176069.0
5,"Opel Corsa 1.2 16V 3D 2008 Trekhaak,NieuweAPK!!,Airco,Cruise",marktplaats.nl/v/auto-s/opel/m2062366775-opel-corsa-1-2-16v-3d-2008-trekhaak-nieuweapk-airco-cruise,2008.0,Benzine ,Handgeschakeld ,Hatchback ,150596.0
6,Opel Meriva 1.4 Turbo Edition 5 deurs*Pdc*stuurverw*stoelver,marktplaats.nl/v/auto-s/opel/m2066142027-opel-meriva-1-4-turbo-edition-5-deurs-pdc-stuurverw-stoelver,2010.0,Benzine ,Handgeschakeld ,MPV ,50902.0
7,Opel Crossland X 1.2 Turbo 110pk Start/stop Aut 2019,marktplaats.nl/v/auto-s/opel/m2066124679-opel-crossland-x-1-2-turbo-110pk-start-stop-aut-2019,2019.0,Benzine ,Automaat ,SUV of Terreinwagen ,16500.0
8,Opel Agila 1.0 2006 Grijs,,2006.0,Benzine ,Handgeschakeld ,MPV ,165541.0
9,Opel Agila 1.2 Edition 2010. MET SLECHTS 67.000 km NAP.,marktplaats.nl/v/auto-s/opel/m2066107033-opel-agila-1-2-edition-2010-met-slechts-67-000-km-nap,2010.0,Benzine ,Handgeschakeld ,Hatchback ,67740.0
10,Opel Zafira 1.4 Turbo Edition 7 PERSOONS ! TREKHAAK CRUISE C,marktplaats.nl/v/auto-s/opel/m2060865175-opel-zafira-1-4-turbo-edition-7-persoons-trekhaak-cruise-c,2012.0,Benzine ,Handgeschakeld ,MPV ,130839.0
11,Opel Ampera-e Launch Executive 60-kwh Automaat Leer Nr. 025,marktplaats.nl/v/auto-s/opel/a1461138927-opel-ampera-e-launch-executive-60-kwh-automaat-leer-nr-025,2017.0,Elektrisch ,Automaat ,Hatchback ,
12,Opel Insignia 1.4 Turbo EcoFLEX Edition - Navigatie - Trekha,marktplaats.nl/v/auto-s/opel/m2058352876-opel-insignia-1-4-turbo-ecoflex-edition-navigatie-trekha,2012.0,Benzine ,Handgeschakeld ,Hatchback ,140246.0
13,Opel Astra 1.4 Turbo Ecotec 103KW 5-D 2011 Wit,,2011.0,Benzine ,Handgeschakeld ,Hatchback ,144000.0
14,Opel Rocks-E Limited Edition mat zwart te koop,,2023.0,Elektrisch ,Automaat ,Overige carrosserieën ,850.0
15,"Opel Insignia 1.4 T EcoFLEX OPC line+ Navi, Park Assist, Cli",marktplaats.nl/v/auto-s/opel/m2055712012-opel-insignia-1-4-t-ecoflex-opc-line-navi-park-assist-cli,2013.0,Benzine ,Handgeschakeld ,Sedan ,99534.0
16,Opel Insignia Grand Sport 1.5 Turbo Business Executive- Spor,marktplaats.nl/v/auto-s/opel/m2059712493-opel-insignia-grand-sport-1-5-turbo-business-executive-spor,2018.0,Benzine ,Handgeschakeld ,Hatchback ,162400.0
17,"Opel Astra 1.0 Turbo Innovation Sport Interieur, Navi, Stuur",marktplaats.nl/v/auto-s/opel/m2059382077-opel-astra-1-0-turbo-innovation-sport-interieur-navi-stuur,2018.0,Benzine ,Handgeschakeld ,Hatchback ,142346.0
